Sample,Voltage,Problem
9,422.85,Swell
10,416.48,Swell
11,397.47,Swell
12,366.39,Swell
13,324.19,Swell
14,272.14,Swell
15,211.83,Swell
16,145.1,Swell
17,73.95,Swell
18,-72.84,Swell
19,-144.03,Swell
20,-210.85,Swell
21,-271.27,Swell
22,-323.46,Swell
23,-365.82,Swell
24,-397.08,Swell
25,-416.28,Swell
26,-422.85,Swell
27,-416.58,Swell
28,-397.66,Swell
29,-366.67,Swell
30,-324.55,Swell
31,-272.57,Swell
32,-212.32,Swell
33,-145.63,Swell
34,-74.51,Swell
1,76.22,Swell
2,150.12,Swell
3,219.47,Swell
4,282.15,Swell
5,336.27,Swell
6,380.18,Swell
7,412.55,Swell
8,432.39,Swell
9,439.11,Swell
10,432.5,Swell
11,412.75,Swell
12,380.48,Swell
13,336.65,Swell
14,282.61,Swell
15,219.98,Swell
16,150.68,Swell
17,76.8,Swell
18,-75.64,Swell
19,-149.57,Swell
20,-218.96,Swell
21,-281.7,Swell
22,-335.89,Swell
23,-379.89,Swell
24,-412.35,Swell
25,-432.29,Swell
26,-439.11,Swell
27,-432.6,Swell
28,-412.95,Swell
29,-380.77,Swell
30,-337.03,Swell
31,-283.06,Swell
32,-220.49,Swell
33,-151.23,Swell
34,-77.38,Swell
1,79.04,Swell
2,155.69,Swell
3,227.6,Swell
4,292.61,Swell
5,348.73,Swell
6,394.27,Swell
7,427.84,Swell
8,448.41,Swell
9,455.38,Swell
10,448.52,Swell
11,428.04,Swell
12,394.57,Swell
13,349.12,Swell
14,293.08,Swell
15,228.13,Swell
16,156.26,Swell
17,79.64,Swell
18,-78.44,Swell
19,-155.11,Swell
20,-227.07,Swell
21,-292.14,Swell
22,-348.34,Swell
23,-393.96,Swell
24,-427.63,Swell
25,-448.31,Swell
26,-455.38,Swell
27,-448.63,Swell
28,-428.25,Swell
29,-394.88,Swell
30,-349.52,Swell
31,-293.54,Swell
32,-228.66,Swell
33,-156.83,Swell
34,-80.25,Swell
1,81.86,Swell
2,161.24,Swell
3,235.73,Swell
4,303.06,Swell
5,361.18,Swell
6,408.35,Swell
7,443.11,Swell
8,464.43,Swell
9,471.64,Swell
10,464.54,Swell
11,443.33,Swell
12,408.66,Swell
13,361.59,Swell
14,303.54,Swell
15,236.28,Swell
16,161.84,Swell
17,82.49,Swell
18,-81.24,Swell
19,-160.65,Swell
20,-235.18,Swell
21,-302.57,Swell
22,-360.78,Swell
23,-408.03,Swell
24,-442.9,Swell
25,-464.32,Swell
26,-471.64,Swell
27,-464.64,Swell
28,-443.54,Swell
29,-408.98,Swell
30,-362,Swell
31,-304.03,Swell
32,-236.82,Swell
33,-162.43,Swell
34,-83.11,Swell
1,84.69,Swell
2,166.8,Swell
3,243.86,Swell
4,313.5,Swell
5,373.64,Swell
6,422.42,Swell
7,458.39,Swell
8,480.44,Swell
9,487.9,Swell
10,480.55,Swell
11,458.61,Swell
12,422.75,Swell
13,374.06,Swell
14,314.01,Swell
15,244.42,Swell
16,167.42,Swell
17,85.33,Swell
18,-84.04,Swell
19,-166.19,Swell
20,-243.29,Swell
21,-313,Swell
22,-373.21,Swell
23,-422.1,Swell
24,-458.16,Swell
25,-480.32,Swell
26,-487.9,Swell
27,-480.66,Swell
28,-458.84,Swell
29,-423.08,Swell
30,-374.48,Swell
31,-314.51,Swell
32,-244.99,Swell
33,-168.03,Swell
34,-85.98,Swell
1,87.51,Swell
2,172.37,Swell
3,251.99,Swell
4,323.96,Swell
5,386.1,Swell
6,436.51,Swell
7,473.67,Swell
8,496.46,Swell
9,504.17,Swell
10,496.58,Swell
11,473.91,Swell
12,436.85,Swell
13,386.53,Swell
14,324.48,Swell
15,252.57,Swell
16,173,Swell
17,88.18,Swell
18,-86.85,Swell
19,-171.73,Swell
20,-251.4,Swell
21,-323.44,Swell
22,-385.66,Swell
23,-436.17,Swell
24,-473.44,Swell
25,-496.34,Swell
26,-504.17,Swell
27,-496.69,Swell
28,-474.14,Swell
29,-437.19,Swell
30,-386.96,Swell
31,-324.99,Swell
32,-253.16,Swell
33,-173.64,Swell
34,-88.84,Swell
1,90.33,Swell
2,177.92,Swell
3,260.11,Swell
4,334.41,Swell
5,398.55,Swell
6,450.59,Swell
7,488.95,Swell
8,512.47,Swell
9,520.43,Swell
10,512.59,Swell
11,489.19,Swell
12,450.94,Swell
13,399,Swell
14,334.94,Swell
15,260.72,Swell
16,178.58,Swell
17,91.02,Swell
18,-89.65,Swell
19,-177.27,Swell
20,-259.51,Swell
21,-333.87,Swell
22,-398.1,Swell
23,-450.24,Swell
24,-488.71,Swell
25,-512.35,Swell
26,-520.43,Swell
27,-512.71,Swell
28,-489.43,Swell
29,-451.29,Swell
30,-399.44,Swell
31,-335.48,Swell
32,-261.32,Swell
33,-179.24,Swell
34,-91.71,Swell
1,93.16,Swell
2,183.48,Swell
3,268.24,Swell
4,344.86,Swell
5,411,Swell
6,464.67,Swell
7,504.23,Swell
8,528.48,Swell
9,536.69,Swell
10,528.61,Swell
11,504.47,Swell
12,465.03,Swell
13,411.46,Swell
14,345.41,Swell
15,268.86,Swell
16,184.16,Swell
17,93.86,Swell
18,-92.45,Swell
19,-182.81,Swell
20,-267.62,Swell
21,-344.3,Swell
22,-410.54,Swell
23,-464.31,Swell
24,-503.98,Swell
25,-528.35,Swell
26,-536.69,Swell
27,-528.73,Swell
28,-504.72,Swell
29,-465.39,Swell
30,-411.92,Swell
31,-345.96,Swell
32,-269.49,Swell
33,-184.84,Swell
34,-94.57,Swell
1,95.98,Swell
2,189.05,Swell
3,276.37,Swell
4,355.31,Swell
5,423.46,Swell
6,478.75,Swell
7,519.51,Swell
8,544.5,Swell
9,552.96,Swell
10,544.63,Swell
11,519.77,Swell
12,479.12,Swell
13,423.94,Swell
14,355.88,Swell
15,277.02,Swell
16,189.74,Swell
17,96.71,Swell
18,-95.25,Swell
19,-188.35,Swell
20,-275.73,Swell
21,-354.74,Swell
22,-422.98,Swell
23,-478.38,Swell
24,-519.26,Swell
25,-544.37,Swell
26,-552.96,Swell
27,-544.76,Swell
28,-520.02,Swell
29,-479.49,Swell
30,-424.41,Swell
31,-356.45,Swell
32,-277.66,Swell
33,-190.44,Swell
34,-97.44,Swell
1,98.8,Swell
2,194.6,Swell
3,284.5,Swell
4,365.76,Swell
5,435.91,Swell
6,492.83,Swell
7,534.79,Swell
8,560.51,Swell
9,569.22,Swell
10,560.65,Swell
11,535.05,Swell
12,493.21,Swell
13,436.4,Swell
14,366.34,Swell
15,285.16,Swell
16,195.32,Swell
17,99.55,Swell
18,-98.05,Swell
19,-193.89,Swell
20,-283.84,Swell
21,-365.17,Swell
22,-435.42,Swell
23,-492.45,Swell
24,-534.53,Swell
25,-560.38,Swell
26,-569.22,Swell
27,-560.78,Swell
28,-535.31,Swell
29,-493.59,Swell
30,-436.89,Swell
31,-366.93,Swell
32,-285.82,Swell
33,-196.04,Swell
34,-100.31,Swell
1,101.62,Swell
2,200.16,Swell
3,292.63,Swell
4,376.21,Swell
5,448.36,Swell
6,506.91,Swell
7,550.07,Swell
8,576.52,Swell
9,585.48,Swell
10,576.66,Swell
11,550.34,Swell
12,507.3,Swell
13,448.87,Swell
14,376.81,Swell
15,293.31,Swell
16,200.9,Swell
17,102.4,Swell
18,-100.85,Swell
19,-199.43,Swell
20,-291.95,Swell
21,-375.6,Swell
22,-447.86,Swell
23,-506.52,Swell
24,-549.8,Swell
25,-576.39,Swell
26,-585.48,Swell
27,-576.8,Swell
28,-550.6,Swell
29,-507.69,Swell
30,-449.37,Swell
31,-377.41,Swell
32,-293.99,Swell
33,-201.64,Swell
34,-103.17,Swell
1,51.38,Flicker
2,101.19,Flicker
3,147.94,Flicker
4,190.19,Flicker
5,226.67,Flicker
6,256.27,Flicker
7,278.09,Flicker
8,291.46,Flicker
9,295.99,Flicker
10,291.53,Flicker
11,278.22,Flicker
12,256.47,Flicker
13,226.93,Flicker
14,190.5,Flicker
15,148.28,Flicker
16,101.57,Flicker
17,51.77,Flicker
18,-50.99,Flicker
19,-100.82,Flicker
20,-147.59,Flicker
21,-189.89,Flicker
22,-226.42,Flicker
23,-256.07,Flicker
24,-277.95,Flicker
25,-291.39,Flicker
26,-295.99,Flicker
27,-291.6,Flicker
28,-278.36,Flicker
29,-256.67,Flicker
30,-227.18,Flicker
31,-190.8,Flicker
32,-148.62,Flicker
33,-101.94,Flicker
34,-52.16,Flicker
1,51.94,Flicker
2,102.31,Flicker
3,149.57,Flicker
4,192.29,Flicker
5,229.17,Flicker
6,259.09,Flicker
7,281.15,Flicker
8,294.67,Flicker
9,299.25,Flicker
10,294.74,Flicker
11,281.29,Flicker
12,259.29,Flicker
13,229.43,Flicker
14,192.59,Flicker
15,149.91,Flicker
16,102.68,Flicker
17,52.34,Flicker
18,-51.55,Flicker
19,-101.93,Flicker
20,-149.22,Flicker
21,-191.98,Flicker
22,-228.91,Flicker
23,-258.89,Flicker
24,-281.01,Flicker
25,-294.6,Flicker
26,-299.25,Flicker
27,-294.81,Flicker
28,-281.42,Flicker
29,-259.49,Flicker
30,-229.68,Flicker
31,-192.9,Flicker
32,-150.26,Flicker
33,-103.06,Flicker
34,-52.73,Flicker
1,52.51,Flicker
2,103.42,Flicker
3,151.19,Flicker
4,194.37,Flicker
5,231.66,Flicker
6,261.91,Flicker
7,284.2,Flicker
8,297.87,Flicker
9,302.5,Flicker
10,297.94,Flicker
11,284.34,Flicker
12,262.11,Flicker
13,231.92,Flicker
14,194.68,Flicker
15,151.54,Flicker
16,103.8,Flicker
17,52.91,Flicker
18,-52.11,Flicker
19,-103.04,Flicker
20,-150.84,Flicker
21,-194.06,Flicker
22,-231.39,Flicker
23,-261.7,Flicker
24,-284.06,Flicker
25,-297.8,Flicker
26,-302.5,Flicker
27,-298.01,Flicker
28,-284.48,Flicker
29,-262.31,Flicker
30,-232.18,Flicker
31,-195,Flicker
32,-151.89,Flicker
33,-104.18,Flicker
34,-53.31,Flicker
1,53.07,Flicker
2,104.53,Flicker
3,152.82,Flicker
4,196.46,Flicker
5,234.14,Flicker
6,264.72,Flicker
7,287.26,Flicker
8,301.07,Flicker
9,305.75,Flicker
10,301.14,Flicker
11,287.4,Flicker
12,264.92,Flicker
13,234.41,Flicker
14,196.78,Flicker
15,153.17,Flicker
16,104.92,Flicker
17,53.47,Flicker
18,-52.67,Flicker
19,-104.14,Flicker
20,-152.46,Flicker
21,-196.15,Flicker
22,-233.88,Flicker
23,-264.51,Flicker
24,-287.12,Flicker
25,-301,Flicker
26,-305.75,Flicker
27,-301.22,Flicker
28,-287.54,Flicker
29,-265.13,Flicker
30,-234.67,Flicker
31,-197.09,Flicker
32,-153.53,Flicker
33,-105.3,Flicker
34,-53.88,Flicker
1,53.63,Flicker
2,105.64,Flicker
3,154.44,Flicker
4,198.55,Flicker
5,236.63,Flicker
6,267.53,Flicker
7,290.31,Flicker
8,304.27,Flicker
9,309,Flicker
10,304.35,Flicker
11,290.45,Flicker
12,267.74,Flicker
13,236.9,Flicker
14,198.87,Flicker
15,154.8,Flicker
16,106.03,Flicker
17,54.04,Flicker
18,-53.23,Flicker
19,-105.25,Flicker
20,-154.08,Flicker
21,-198.23,Flicker
22,-236.37,Flicker
23,-267.33,Flicker
24,-290.17,Flicker
25,-304.2,Flicker
26,-309,Flicker
27,-304.42,Flicker
28,-290.59,Flicker
29,-267.95,Flicker
30,-237.17,Flicker
31,-199.19,Flicker
32,-155.16,Flicker
33,-106.42,Flicker
34,-54.45,Flicker
1,54.2,Flicker
2,106.76,Flicker
3,156.07,Flicker
4,200.65,Flicker
5,239.13,Flicker
6,270.36,Flicker
7,293.37,Flicker
8,307.48,Flicker
9,312.26,Flicker
10,307.56,Flicker
11,293.52,Flicker
12,270.56,Flicker
13,239.4,Flicker
14,200.97,Flicker
15,156.43,Flicker
16,107.15,Flicker
17,54.61,Flicker
18,-53.79,Flicker
19,-106.36,Flicker
20,-155.71,Flicker
21,-200.32,Flicker
22,-238.86,Flicker
23,-270.15,Flicker
24,-293.23,Flicker
25,-307.41,Flicker
26,-312.26,Flicker
27,-307.63,Flicker
28,-293.66,Flicker
29,-270.77,Flicker
30,-239.67,Flicker
31,-201.29,Flicker
32,-156.79,Flicker
33,-107.54,Flicker
34,-55.03,Flicker
1,54.76,Flicker
2,107.87,Flicker
3,157.69,Flicker
4,202.73,Flicker
5,241.62,Flicker
6,273.17,Flicker
7,296.43,Flicker
8,310.68,Flicker
9,315.51,Flicker
10,310.76,Flicker
11,296.57,Flicker
12,273.38,Flicker
13,241.89,Flicker
14,203.06,Flicker
15,158.06,Flicker
16,108.26,Flicker
17,55.18,Flicker
18,-54.35,Flicker
19,-107.47,Flicker
20,-157.33,Flicker
21,-202.41,Flicker
22,-241.35,Flicker
23,-272.96,Flicker
24,-296.28,Flicker
25,-310.61,Flicker
26,-315.51,Flicker
27,-310.83,Flicker
28,-296.71,Flicker
29,-273.59,Flicker
30,-242.16,Flicker
31,-203.38,Flicker
32,-158.43,Flicker
33,-108.66,Flicker
34,-55.6,Flicker
1,55.33,Flicker
2,108.98,Flicker
3,159.32,Flicker
4,204.82,Flicker
5,244.11,Flicker
6,275.98,Flicker
7,299.48,Flicker
8,313.88,Flicker
9,318.76,Flicker
10,313.96,Flicker
11,299.63,Flicker
12,276.2,Flicker
13,244.38,Flicker
14,205.15,Flicker
15,159.69,Flicker
16,109.38,Flicker
17,55.75,Flicker
18,-54.91,Flicker
19,-108.58,Flicker
20,-158.95,Flicker
21,-204.49,Flicker
22,-243.83,Flicker
23,-275.77,Flicker
24,-299.33,Flicker
25,-313.81,Flicker
26,-318.76,Flicker
27,-314.03,Flicker
28,-299.77,Flicker
29,-276.41,Flicker
30,-244.66,Flicker
31,-205.48,Flicker
32,-160.06,Flicker
33,-109.78,Flicker
34,-56.17,Flicker
1,57.59,Flicker
2,113.43,Flicker
3,165.82,Flicker
4,213.18,Flicker
5,254.07,Flicker
6,287.25,Flicker
7,311.7,Flicker
8,326.7,Flicker
9,331.77,Flicker
10,326.77,Flicker
11,311.85,Flicker
12,287.47,Flicker
13,254.36,Flicker
14,213.52,Flicker
15,166.21,Flicker
16,113.84,Flicker
17,58.03,Flicker
18,-57.15,Flicker
19,-113.01,Flicker
20,-165.44,Flicker
21,-212.84,Flicker
22,-253.78,Flicker
23,-287.02,Flicker
24,-311.55,Flicker
25,-326.62,Flicker
26,-331.77,Flicker
27,-326.85,Flicker
28,-312.01,Flicker
29,-287.69,Flicker
30,-254.64,Flicker
31,-213.86,Flicker
32,-166.59,Flicker
33,-114.26,Flicker
34,-58.46,Flicker
1,58.15,Flicker
2,114.53,Flicker
3,167.44,Flicker
4,215.26,Flicker
5,256.54,Flicker
6,290.04,Flicker
7,314.74,Flicker
8,329.88,Flicker
9,335,Flicker
10,329.95,Flicker
11,314.89,Flicker
12,290.27,Flicker
13,256.83,Flicker
14,215.6,Flicker
15,167.82,Flicker
16,114.95,Flicker
17,58.59,Flicker
18,-57.7,Flicker
19,-114.11,Flicker
20,-167.05,Flicker
21,-214.91,Flicker
22,-256.26,Flicker
23,-289.82,Flicker
24,-314.58,Flicker
25,-329.8,Flicker
26,-335,Flicker
27,-330.03,Flicker
28,-315.04,Flicker
29,-290.49,Flicker
30,-257.12,Flicker
31,-215.95,Flicker
32,-168.21,Flicker
33,-115.37,Flicker
34,-59.03,Flicker
1,58.72,Flicker
2,115.65,Flicker
3,169.07,Flicker
4,217.36,Flicker
5,259.05,Flicker
6,292.87,Flicker
7,317.81,Flicker
8,333.1,Flicker
9,338.27,Flicker
10,333.17,Flicker
11,317.96,Flicker
12,293.1,Flicker
13,259.34,Flicker
14,217.71,Flicker
15,169.46,Flicker
16,116.07,Flicker
17,59.16,Flicker
18,-58.27,Flicker
19,-115.22,Flicker
20,-168.68,Flicker
21,-217.01,Flicker
22,-258.76,Flicker
23,-292.65,Flicker
24,-317.65,Flicker
25,-333.02,Flicker
26,-338.27,Flicker
27,-333.25,Flicker
28,-318.12,Flicker
29,-293.33,Flicker
30,-259.63,Flicker
31,-218.05,Flicker
32,-169.85,Flicker
33,-116.5,Flicker
34,-59.61,Flicker
1,59.28,Flicker
2,116.76,Flicker
3,170.7,Flicker
4,219.45,Flicker
5,261.55,Flicker
6,295.7,Flicker
7,320.87,Flicker
8,336.31,Flicker
9,341.53,Flicker
10,336.39,Flicker
11,321.03,Flicker
12,295.93,Flicker
13,261.84,Flicker
14,219.8,Flicker
15,171.1,Flicker
16,117.19,Flicker
17,59.73,Flicker
18,-58.83,Flicker
19,-116.33,Flicker
20,-170.3,Flicker
21,-219.1,Flicker
22,-261.25,Flicker
23,-295.47,Flicker
24,-320.72,Flicker
25,-336.23,Flicker
26,-341.53,Flicker
27,-336.46,Flicker
28,-321.18,Flicker
29,-296.15,Flicker
30,-262.13,Flicker
31,-220.15,Flicker
32,-171.49,Flicker
33,-117.62,Flicker
34,-60.18,Flicker
1,59.85,Flicker
2,117.88,Flicker
3,172.33,Flicker
4,221.55,Flicker
5,264.04,Flicker
6,298.52,Flicker
7,323.94,Flicker
8,339.52,Flicker
9,344.79,Flicker
10,339.6,Flicker
11,324.09,Flicker
12,298.75,Flicker
13,264.34,Flicker
14,221.9,Flicker
15,172.73,Flicker
16,118.31,Flicker
17,60.3,Flicker
18,-59.39,Flicker
19,-117.44,Flicker
20,-171.93,Flicker
21,-221.19,Flicker
22,-263.74,Flicker
23,-298.29,Flicker
24,-323.78,Flicker
25,-339.44,Flicker
26,-344.79,Flicker
27,-339.68,Flicker
28,-324.25,Flicker
29,-298.98,Flicker
30,-264.64,Flicker
31,-222.26,Flicker
32,-173.13,Flicker
33,-118.75,Flicker
34,-60.76,Flicker
1,60.4,Flicker
2,118.97,Flicker
3,173.93,Flicker
4,223.61,Flicker
5,266.5,Flicker
6,301.3,Flicker
7,326.95,Flicker
8,342.68,Flicker
9,348,Flicker
10,342.76,Flicker
11,327.11,Flicker
12,301.53,Flicker
13,266.8,Flicker
14,223.97,Flicker
15,174.34,Flicker
16,119.41,Flicker
17,60.86,Flicker
18,-59.94,Flicker
19,-118.54,Flicker
20,-173.53,Flicker
21,-223.25,Flicker
22,-266.2,Flicker
23,-301.07,Flicker
24,-326.79,Flicker
25,-342.6,Flicker
26,-348,Flicker
27,-342.84,Flicker
28,-327.27,Flicker
29,-301.77,Flicker
30,-267.1,Flicker
31,-224.33,Flicker
32,-174.74,Flicker
33,-119.85,Flicker
34,-61.32,Flicker
1,60.98,Flicker
2,120.1,Flicker
3,175.58,Flicker
4,225.72,Flicker
5,269.02,Flicker
6,304.15,Flicker
7,330.04,Flicker
8,345.92,Flicker
9,351.29,Flicker
10,346,Flicker
11,330.2,Flicker
12,304.38,Flicker
13,269.32,Flicker
14,226.09,Flicker
15,175.98,Flicker
16,120.54,Flicker
17,61.44,Flicker
18,-60.51,Flicker
19,-119.66,Flicker
20,-175.17,Flicker
21,-225.36,Flicker
22,-268.72,Flicker
23,-303.91,Flicker
24,-329.88,Flicker
25,-345.83,Flicker
26,-351.29,Flicker
27,-346.08,Flicker
28,-330.36,Flicker
29,-304.62,Flicker
30,-269.62,Flicker
31,-226.45,Flicker
32,-176.39,Flicker
33,-120.98,Flicker
34,-61.9,Flicker
1,61.54,Flicker
2,121.21,Flicker
3,177.2,Flicker
4,227.81,Flicker
5,271.51,Flicker
6,306.96,Flicker
7,333.1,Flicker
8,349.12,Flicker
9,354.54,Flicker
10,349.2,Flicker
11,333.26,Flicker
12,307.2,Flicker
13,271.81,Flicker
14,228.18,Flicker
15,177.61,Flicker
16,121.66,Flicker
17,62.01,Flicker
18,-61.07,Flicker
19,-120.76,Flicker
20,-176.79,Flicker
21,-227.45,Flicker
22,-271.2,Flicker
23,-306.72,Flicker
24,-332.93,Flicker
25,-349.03,Flicker
26,-354.54,Flicker
27,-349.28,Flicker
28,-333.42,Flicker
29,-307.44,Flicker
30,-272.12,Flicker
31,-228.54,Flicker
32,-178.02,Flicker
33,-122.1,Flicker
34,-62.48,Flicker
1,5.36,Interruption
2,10.56,Interruption
3,15.44,Interruption
4,19.86,Interruption
5,23.66,Interruption
6,26.75,Interruption
7,29.03,Interruption
8,30.43,Interruption
9,30.9,Interruption
10,30.43,Interruption
11,29.05,Interruption
12,26.77,Interruption
13,23.69,Interruption
14,19.89,Interruption
15,15.48,Interruption
16,10.6,Interruption
17,5.4,Interruption
18,-5.32,Interruption
19,-10.53,Interruption
20,-15.41,Interruption
21,-19.82,Interruption
22,-23.64,Interruption
23,-26.73,Interruption
24,-29.02,Interruption
25,-30.42,Interruption
26,-30.9,Interruption
27,-30.44,Interruption
28,-29.06,Interruption
29,-26.79,Interruption
30,-23.72,Interruption
31,-19.92,Interruption
32,-15.52,Interruption
33,-10.64,Interruption
34,-5.45,Interruption
1,5.08,Interruption
2,10.01,Interruption
3,14.63,Interruption
4,18.81,Interruption
5,22.42,Interruption
6,25.34,Interruption
7,27.5,Interruption
8,28.82,Interruption
9,29.27,Interruption
10,28.83,Interruption
11,27.51,Interruption
12,25.36,Interruption
13,22.44,Interruption
14,18.84,Interruption
15,14.66,Interruption
16,10.04,Interruption
17,5.12,Interruption
18,-5.04,Interruption
19,-9.97,Interruption
20,-14.6,Interruption
21,-18.78,Interruption
22,-22.39,Interruption
23,-25.32,Interruption
24,-27.49,Interruption
25,-28.82,Interruption
26,-29.27,Interruption
27,-28.84,Interruption
28,-27.53,Interruption
29,-25.38,Interruption
30,-22.47,Interruption
31,-18.87,Interruption
32,-14.7,Interruption
33,-10.08,Interruption
34,-5.16,Interruption
1,4.8,Interruption
2,9.45,Interruption
3,13.82,Interruption
4,17.77,Interruption
5,21.17,Interruption
6,23.94,Interruption
7,25.98,Interruption
8,27.23,Interruption
9,27.65,Interruption
10,27.23,Interruption
11,25.99,Interruption
12,23.96,Interruption
13,21.2,Interruption
14,17.8,Interruption
15,13.85,Interruption
16,9.49,Interruption
17,4.84,Interruption
18,-4.76,Interruption
19,-9.42,Interruption
20,-13.79,Interruption
21,-17.74,Interruption
22,-21.15,Interruption
23,-23.92,Interruption
24,-25.96,Interruption
25,-27.22,Interruption
26,-27.65,Interruption
27,-27.24,Interruption
28,-26,Interruption
29,-23.98,Interruption
30,-21.22,Interruption
31,-17.82,Interruption
32,-13.88,Interruption
33,-9.52,Interruption
34,-4.87,Interruption
1,4.52,Interruption
2,8.9,Interruption
3,13,Interruption
4,16.72,Interruption
5,19.93,Interruption
6,22.53,Interruption
7,24.45,Interruption
8,25.62,Interruption
9,26.02,Interruption
10,25.63,Interruption
11,24.46,Interruption
12,22.55,Interruption
13,19.95,Interruption
14,16.75,Interruption
15,13.04,Interruption
16,8.93,Interruption
17,4.55,Interruption
18,-4.48,Interruption
19,-8.86,Interruption
20,-12.97,Interruption
21,-16.69,Interruption
22,-19.9,Interruption
23,-22.51,Interruption
24,-24.43,Interruption
25,-25.62,Interruption
26,-26.02,Interruption
27,-25.63,Interruption
28,-24.47,Interruption
29,-22.56,Interruption
30,-19.97,Interruption
31,-16.77,Interruption
32,-13.07,Interruption
33,-8.96,Interruption
34,-4.59,Interruption
1,3.95,Interruption
2,7.78,Interruption
3,11.37,Interruption
4,14.62,Interruption
5,17.42,Interruption
6,19.7,Interruption
7,21.37,Interruption
8,22.4,Interruption
9,22.75,Interruption
10,22.41,Interruption
11,21.38,Interruption
12,19.71,Interruption
13,17.44,Interruption
14,14.64,Interruption
15,11.4,Interruption
16,7.81,Interruption
17,3.98,Interruption
18,-3.92,Interruption
19,-7.75,Interruption
20,-11.34,Interruption
21,-14.59,Interruption
22,-17.4,Interruption
23,-19.68,Interruption
24,-21.36,Interruption
25,-22.4,Interruption
26,-22.75,Interruption
27,-22.41,Interruption
28,-21.39,Interruption
29,-19.73,Interruption
30,-17.46,Interruption
31,-14.66,Interruption
32,-11.42,Interruption
33,-7.84,Interruption
34,-4.01,Interruption
1,3.39,Interruption
2,6.67,Interruption
3,9.76,Interruption
4,12.54,Interruption
5,14.95,Interruption
6,16.9,Interruption
7,18.34,Interruption
8,19.22,Interruption
9,19.52,Interruption
10,19.23,Interruption
11,18.35,Interruption
12,16.91,Interruption
13,14.97,Interruption
14,12.56,Interruption
15,9.78,Interruption
16,6.7,Interruption
17,3.41,Interruption
18,-3.36,Interruption
19,-6.65,Interruption
20,-9.73,Interruption
21,-12.52,Interruption
22,-14.93,Interruption
23,-16.89,Interruption
24,-18.33,Interruption
25,-19.22,Interruption
26,-19.52,Interruption
27,-19.23,Interruption
28,-18.36,Interruption
29,-16.93,Interruption
30,-14.98,Interruption
31,-12.58,Interruption
32,-9.8,Interruption
33,-6.72,Interruption
34,-3.44,Interruption
1,2.82,Interruption
2,5.56,Interruption
3,8.12,Interruption
4,10.44,Interruption
5,12.44,Interruption
6,14.07,Interruption
7,15.27,Interruption
8,16,Interruption
9,16.25,Interruption
10,16.01,Interruption
11,15.27,Interruption
12,14.08,Interruption
13,12.46,Interruption
14,10.46,Interruption
15,8.14,Interruption
16,5.58,Interruption
17,2.84,Interruption
18,-2.8,Interruption
19,-5.54,Interruption
20,-8.1,Interruption
21,-10.42,Interruption
22,-12.43,Interruption
23,-14.06,Interruption
24,-15.26,Interruption
25,-16,Interruption
26,-16.25,Interruption
27,-16.01,Interruption
28,-15.28,Interruption
29,-14.09,Interruption
30,-12.47,Interruption
31,-10.47,Interruption
32,-8.16,Interruption
33,-5.6,Interruption
34,-2.86,Interruption
1,2.26,Interruption
2,4.45,Interruption
3,6.5,Interruption
4,8.36,Interruption
5,9.96,Interruption
6,11.26,Interruption
7,12.22,Interruption
8,12.81,Interruption
9,13.01,Interruption
10,12.81,Interruption
11,12.23,Interruption
12,11.27,Interruption
13,9.97,Interruption
14,8.37,Interruption
15,6.52,Interruption
16,4.46,Interruption
17,2.28,Interruption
18,-2.24,Interruption
19,-4.43,Interruption
20,-6.49,Interruption
21,-8.35,Interruption
22,-9.95,Interruption
23,-11.26,Interruption
24,-12.22,Interruption
25,-12.81,Interruption
26,-13.01,Interruption
27,-12.82,Interruption
28,-12.23,Interruption
29,-11.28,Interruption
30,-9.99,Interruption
31,-8.39,Interruption
32,-6.53,Interruption
33,-4.48,Interruption
34,-2.29,Interruption
1,1.69,Interruption
2,3.33,Interruption
3,4.87,Interruption
4,6.26,Interruption
5,7.47,Interruption
6,8.44,Interruption
7,9.16,Interruption
8,9.6,Interruption
9,9.75,Interruption
10,9.6,Interruption
11,9.16,Interruption
12,8.45,Interruption
13,7.48,Interruption
14,6.27,Interruption
15,4.88,Interruption
16,3.35,Interruption
17,1.71,Interruption
18,-1.68,Interruption
19,-3.32,Interruption
20,-4.86,Interruption
21,-6.25,Interruption
22,-7.46,Interruption
23,-8.44,Interruption
24,-9.16,Interruption
25,-9.6,Interruption
26,-9.75,Interruption
27,-9.61,Interruption
28,-9.17,Interruption
29,-8.45,Interruption
30,-7.48,Interruption
31,-6.28,Interruption
32,-4.9,Interruption
33,-3.36,Interruption
34,-1.72,Interruption
1,1.41,Interruption
2,2.78,Interruption
3,4.06,Interruption
4,5.22,Interruption
5,6.22,Interruption
6,7.03,Interruption
7,7.63,Interruption
8,8,Interruption
9,8.12,Interruption
10,8,Interruption
11,7.64,Interruption
12,7.04,Interruption
13,6.23,Interruption
14,5.23,Interruption
15,4.07,Interruption
16,2.79,Interruption
17,1.42,Interruption
18,-1.4,Interruption
19,-2.77,Interruption
20,-4.05,Interruption
21,-5.21,Interruption
22,-6.22,Interruption
23,-7.03,Interruption
24,-7.63,Interruption
25,-8,Interruption
26,-8.12,Interruption
27,-8,Interruption
28,-7.64,Interruption
29,-7.05,Interruption
30,-6.24,Interruption
31,-5.24,Interruption
32,-4.08,Interruption
33,-2.8,Interruption
34,-1.43,Interruption
1,1.13,Interruption
